City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
katsuura,35.1333,140.3,71.19,95,100,15.12,JP,1625426941
ponta do sol,32.6667,-17.1,74.03,81,0,5.32,PT,1625426941
causapscal,48.3542,-67.227,70.03,44,100,4.65,CA,1625426942
kapaa,22.0752,-159.319,80.92,77,75,5.01,US,1625426942
manokwari,-0.8667,134.0833,77.54,84,100,5.91,ID,1625426943
malindi,-3.2175,40.1191,76.68,79,34,17.54,KE,1625426944
barrow,71.2906,-156.7887,46.42,93,40,0.0,US,1625426944
hilo,19.7297,-155.09,78.8,77,40,9.22,US,1625426945
guilin,25.2819,110.2864,75.31,96,100,1.12,CN,1625426945
naze,28.3667,129.4833,77.43,90,100,11.34,JP,1625426946
ushuaia,-54.8,-68.3,40.66,75,0,6.91,AR,1625426946
rikitea,-23.1203,-134.9692,74.95,69,0,18.34,PF,1625426947
evensk,61.95,159.2333,51.1,81,18,4.41,RU,1625426947
narsaq,60.9167,-46.05,64.62,63,43,3.94,GL,1625426948
avarua,-21.2078,-159.775,78.85,83,40,10.36,CK,1625426948
tautira,-17.7333,-149.15,77.02,81,0,15.48,PF,1625426949
albany,42.6001,-73.9662,73.78,72,100,3.11,US,1625426804
santa cruz,-17.8,-63.1667,82.45,39,0,13.8,BO,1625426949
listvyanka,51.8535,104.8693,54.9,92,51,4.32,RU,1625426950
thompson,55.7435,-97.8558,50.16,93,90,10.36,CA,1625426678
torbay,47.6666,-52.7314,48.58,95,90,16.11,CA,1625426951
te anau,-45.4167,167.7167,43.68,88,75,7.4,NZ,1625426951
tasiilaq,65.6145,-37.6368,41.16,84,99,3.11,GL,1625426952
veraval,20.9,70.3667,84.6,73,100,12.8,IN,1625426953
bluff,-46.6,168.3333,43.45,84,100,10.49,NZ,1625426953
udachnyy,66.4167,112.4,62.33,58,100,9.08,RU,1625426954
olafsvik,64.8945,-23.7142,50.63,84,100,12.82,IS,1625426954
kuloy,61.0305,42.4925,55.31,61,1,3.96,RU,1625426955
yabrud,33.9674,36.6574,64.06,38,0,3.18,SY,1625426955
hamilton,39.1834,-84.5333,89.76,62,20,1.01,US,1625426956
vaini,-21.2,-175.2,68.16,77,40,14.97,TO,1625426956
souillac,-20.5167,57.5167,73.36,83,40,17.27,MU,1625426957
atuona,-9.8,-139.0333,78.64,80,32,25.57,PF,1625426957
yumen,40.2833,97.2,69.39,25,100,11.97,CN,1625426957
jamestown,42.097,-79.2353,81.01,49,20,3.0,US,1625426900
mastic beach,40.7668,-72.8521,74.98,72,75,1.99,US,1625426958
markova,48.6758,24.4138,58.57,95,89,3.56,UA,1625426959
pimentel,-6.8367,-79.9342,71.89,64,90,6.91,PE,1625426960
puerto ayora,-0.7393,-90.3518,82.36,90,47,7.0,EC,1625426960
hobyo,5.3505,48.5268,78.12,80,100,24.2,SO,1625426961
cape town,-33.9258,18.4232,53.28,87,40,5.75,ZA,1625426664
sur,22.5667,59.5289,86.5,67,5,13.56,OM,1625426962
bandarbeyla,9.4942,50.8122,77.2,80,99,29.89,SO,1625426963
sitka,57.0531,-135.33,58.89,72,90,11.5,US,1625426963
hualmay,-11.0964,-77.6139,68.65,66,3,10.87,PE,1625426964
castro,-24.7911,-50.0119,62.42,62,99,4.16,BR,1625426964
qaanaaq,77.484,-69.3632,34.29,71,92,0.94,GL,1625426965
pacific grove,36.6177,-121.9166,80.56,79,40,5.01,US,1625426700
port alfred,-33.5906,26.891,59.13,63,2,22.59,ZA,1625426965
waingapu,-9.6567,120.2641,71.42,81,42,9.57,ID,1625426966
panaba,21.2833,-88.2667,90.48,53,87,11.63,MX,1625426966
mataura,-46.1927,168.8643,34.77,92,100,3.4,NZ,1625426967
sosnytsya,51.5239,32.4999,66.47,87,19,9.86,UA,1625426967
tiksi,71.6872,128.8694,59.09,63,27,11.61,RU,1625426968
sao filipe,14.8961,-24.4956,76.71,65,6,13.71,CV,1625426968
yerbogachen,61.2767,108.0108,58.87,72,100,3.8,RU,1625426969
saint-georges,12.0564,-61.7485,83.88,79,20,16.11,GD,1625426969
paamiut,61.994,-49.6678,42.22,90,94,2.55,GL,1625426970
boyolangu,-8.1181,111.8935,73.87,91,69,3.58,ID,1625426970
xuddur,4.1213,43.8894,77.41,55,100,18.9,SO,1625426971
margate,51.3813,1.3862,64.04,76,8,4.0,GB,1625426971
luderitz,-26.6481,15.1594,59.05,57,0,24.54,NA,1625426972
umba,66.6871,34.3429,58.37,78,14,9.06,RU,1625426972
lebu,-37.6167,-73.65,53.62,76,0,5.46,CL,1625426973
nikolskoye,59.7035,30.7861,73.29,69,1,5.55,RU,1625426973
languyan,5.2618,120.0807,78.64,89,100,7.63,PH,1625426974
morondava,-20.2833,44.2833,69.85,71,0,10.63,MG,1625426974
parkes,-33.1333,148.1833,39.34,90,94,2.51,AU,1625426975
port keats,-14.25,129.55,62.44,41,100,9.62,AU,1625426975
bethel,41.3712,-73.414,76.35,71,75,1.01,US,1625426838
kloulklubed,7.0419,134.2556,77.5,73,100,2.26,PW,1625426976
husavik,66.0449,-17.3389,51.71,84,46,6.53,IS,1625426977
longyearbyen,78.2186,15.6401,40.84,81,20,12.66,SJ,1625426977
durant,33.994,-96.3708,88.48,41,1,6.91,US,1625426953
